"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C4";"C2";1;"47n";;;
2;"C3";"C2";1;"100n";;;
3;"C1";"C2";1;"220n";;;
4;"C2";"C2V8";1;"220µ";;;
5;"U1";"DIP-8__300_ELL";1;"LM386_";;;
6;"D1";"LED-5MM";1;"LED";;;
7;"R7";"R4";1;"10k";;;
8;"R6";"R4";1;"10";;;
9;"R5,R4,R3,R2";"R4";4;"4k7";;;
10;"R1";"R4";1;"150";;;
11;"Q1";"MCE_100";1;"ELEKTRETMIC";;;
12;"P1";"pin_strip_2";1;"Speaker";;;
13;"RV1";"POTI_ALPS_RK09_HMVA";1;"POTIALPS_10k";;;
14;"P2";"vasch_strip_5x2";1;"CONN_5X2";;;
15;"SW4";"SW_Push_5mm";1;"Save";;;
16;"SW3";"SW_Push_5mm";1;"Select";;;
17;"SW2";"SW_Push_5mm";1;"Minus";;;
18;"SW1";"SW_Push_5mm";1;"Plus";;;
19;"1PIN,1PIN,1PIN";"1pin";3;"P***";;;
